"BoJack Horseman,The Mandalorian,Harry Potter and the Sorcerer's Stone"
"Blade Runner: Black Lotus,The Flash,Lucifer"
"The Grinch,Dune,Outlander"
"The Polar Express,Clifford the Big Red Dog,Masters of the Universe: Revelation"
"Invincible,Sing 2,What We Do in the Shadows"
"Avatar: The Last Airbender,Black Widow,Attack on Titan"
"Raya and the Last Dragon,Jurassic World: Dominion,Loki"
"Luca,DC League of Super-Pets,The Vampire Diaries"
"Rumble,The Suicide Squad,One Piece"
"Klaus,Vikings,Legacies"
"Enchanted,Harry Potter and the Sorcerer's Stone,Elf"
"Tear Along the Dotted Line,Masters of the Universe: Revelation,Ghostbusters II"
"Young Justice,Venom,Ghosts"
"Archer,Spider-Man,Lost"
"Ron's Gone Wrong,Attack on Titan,Mary Poppins"
"Moana,Loki,Ghostbusters: Answer the Call"
"My Hero Academia,A Castle for Christmas,The Wizard of Oz"
"Robin Robin,Avengers: Endgame,The Green Knight"
"Naruto: Shippûden,Cruella,The Umbrella Academy"
"Star Wars: The Clone Wars,One Piece,Titans"
"Turning Red,Legacies,The Lord of the Rings: The Fellowship of the Ring"
"Rudolph the Red-Nosed Reindeer,Elf,Hit-Monkey"
"Naruto,Rick and Morty,WandaVision"
"Soul,Spectre,Daredevil"
"Dota: Dragon's Blood,What If...?,Inside Job"
"Super Crooks,Zeros and Ones,The Santa Clause"
"Miraculous: Tales of Ladybug & Cat Noir,Spider-Man: Homecoming,Jumanji: The Next Level"
"The French Dispatch,Red Notice,Hawkeye"
"Love Hard,Jungle Cruise,Spider-Man: No Way Home"
"Big Mouth,Ghostbusters,Shang-Chi and the Legend of the Ten Rings"
"Friends,Cowboy Bebop,Eternals"
"Licorice Pizza,Free Guy,Venom: Let There Be Carnage"
"The Big Bang Theory,Home Sweet Home Alone,Ghostbusters"
"Castle,Army of Thieves,The Flash"
"Modern Family,DC League of Super-Pets,Black Widow"
"The Princess Switch 3,The Suicide Squad,DC League of Super-Pets"
"Love Actually,Masters of the Universe: Revelation,The Suicide Squad"
"A Castle for Christmas,One Piece,The Batman"
"How I Met Your Mother,Ghostbusters II,The Boys"
"Elf,The King's Man,Venom"
"The Holiday,Ghostbusters: Answer the Call,Spider-Man"
"Bones,Doom Patrol,Loki"
"This Is Us,The Umbrella Academy,Avengers: Endgame"
"Emily in Paris,Hit-Monkey,What If...?"
"Two and a Half Men,WandaVision,Spider-Man: Homecoming"
"Dickinson,Jumanji: The Next Level,DC's Legends of Tomorrow"
"Sex and the City,Deadpool,Ghostbusters: Answer the Call"
"Love Life,Spider-Man: Into the Spider-Verse,The Amazing Spider-Man"
"Bunty Aur Babli 2,Cobra Kai,Spider-Man: Far from Home"
"Last Christmas,Here Comes the Boom,Doom Patrol"
"Crazy Rich Asians,Deadpool 2,The Umbrella Academy"
"Holidate,The Gentlemen,Titans"
"Mom,Central Intelligence,The Amazing Spider-Man 2"
"Marry Me,Guardians of the Galaxy,Hit-Monkey"
"A Million Little Things,Jumanji: Welcome to the Jungle,Spider-Man 3"
"White Christmas,Hitman's Wife's Bodyguard,Supergirl"
"Desperate Housewives,Raya and the Last Dragon,WandaVision"
"The Princess Switch,21 Jump Street,Daredevil"
"Enchanted,Birds of Prey,Spider-Man 2"
"Four Christmases,Thor: Ragnarok,The Dark Knight"
"The Good Place,The Trip,Suicide Squad"
"Sex/Life,Archer,Avengers: Infinity War"
"Insecure,My Hero Academia,Zack Snyder's Justice League"
"Saved by the Bell,Naruto: Shippûden,Buffy the Vampire Slayer"
"The Worst Person in the World,Kingsman: The Secret Service,Deadpool"
"Grease,Naruto,Jingle All the Way"
"The Princess Switch: Switched Again,Chuck,Spider-Man: Into the Spider-Verse"
"Home for the Holidays,Riders of Justice,Wonder Woman 1984"
"Cinderella,Home Alone 3,Batwoman"
"Pretty Woman,Scott Pilgrim vs. the World,Arrow"
"Just Friends,Pain & Gain,Deadpool 2"
"Scott Pilgrim vs. the World,JoJo's Bizarre Adventure,The Falcon and the Winter Soldier"
"And Just Like That...,Baywatch,Invincible"
"Happiest Season,She-Hulk,Gotham"
"Love & Other Drugs,Barry,Avatar: The Last Airbender"
"Just Short of Perfect,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy"
"Crazy, Stupid, Love.,Doctor,Agents of S.H.I.E.L.D."
